Count_C1DNANuclei,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ColorToGray,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08MeasureObjectIntensity,FileName_C1illum,FileName_C2illum,FileName_C3illum,FileName_raw,ImageNumber,Metadata_XY,Metadata_basename,Scaling_raw,Threshold_FinalThreshold_C1DNANuclei
15.0,0,0.0,1.2099999999999937,0,0.3999999999999915,0.4000000000000057,1.8799999999999955,0.9100000000000108,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0068.tif,68,68,Atr+C Day2,65535,0.01
17.0,0,0.0,1.1799999999999926,0,0.39000000000000057,0.3999999999999915,1.8899999999999864,0.9100000000000108,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0069.tif,69,69,Atr+C Day2,65535,0.01
0.0,0,0.0,1.1700000000000017,0,0.35999999999999943,0.4000000000000057,1.720000000000013,0.4899999999999807,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0070.tif,70,70,Atr+C Day2,65535,0.01
20.0,0,0.0,1.2300000000000182,0,0.38999999999998636,0.4000000000000057,1.9099999999999966,0.9100000000000108,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0071.tif,71,71,Atr+C Day2,65535,0.01
15.0,0,0.0,1.1500000000000057,0,0.37999999999999545,0.4000000000000057,1.970000000000013,0.769999999999996,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0072.tif,72,72,Atr+C Day2,65535,0.01
10.0,0,0.0,1.1599999999999966,0,0.4000000000000057,0.3999999999999915,1.8800000000000097,0.8199999999999932,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0073.tif,73,73,Atr+C Day2,65535,0.01
3.0,0,0.0,1.0700000000000074,0,0.35999999999999943,0.37999999999999545,1.980000000000004,0.9000000000000057,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0074.tif,74,74,Atr+C Day2,65535,0.01
6.0,0,0.0,1.1200000000000045,0,0.3400000000000034,0.37000000000000455,1.9299999999999926,0.9099999999999966,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0075.tif,75,75,Atr+C Day2,65535,0.01
8.0,0,0.0,0.8699999999999903,0,0.28999999999999204,0.3499999999999943,2.0700000000000216,0.9099999999999966,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0076.tif,76,76,Atr+C Day2,65535,0.01
8.0,0,0.0,0.8600000000000136,0,0.29999999999999716,0.3500000000000085,2.0500000000000114,0.9200000000000017,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0077.tif,77,77,Atr+C Day2,65535,0.01
